PID,Street Address,MBLU,Map,Lot,Unit,Book&Page,Assessment,Appraisal,Lot Size (acres),Land Use Code,Description,Zoning District,# Buildings,Appr. Year,Improvements,Land,Total,Recent Sale Price,Recent Sale Date,Prev Sale Price,Prev Sale Date,Prev. Assess.,Prev. Apprais,,
25,30 MARKET ST,201/  18/  /  / ,201,18,,  2510/0517,581100,581100,0.5,1010,SINGLE FAM MDL01,RD,1,2016,410600,170500,581100,290000,2000-12-14,30000,1983-05-17,468400,468400,,
26,26 MARKET ST,201/  19/  /  / ,201,19,,  4136/0106,364400,364400,1.1,1010,SINGLE FAM MDL01,LCD,1,2016,159100,205300,364400,195000,2015-06-17,98000,1990-06-22,293900,293900,,
27,22 MARKET ST,201/  20/  /  / ,201,20,,  3701/0145,536700,536700,2.08,1010,SINGLE FAM MDL01,LCD,1,2016,326700,210000,536700,0,2010-05-17,437533,2008-08-21,509800,509800,,
28,20 MARKET ST,201/  21/  /  / ,201,21,,  3967/ 527,594000,594000,3.5,1090,MULTI HSES,LCD,1,2016,292900,301100,594000,0,2013-04-02,4000,1998-04-10,500300,500300,,
29,14 MARKET ST,201/  22/  /  / ,201,22,,  4339/0611,656100,656100,3.91,1010,SINGLE FAM MDL01,LCD,1,2016,420400,235700,656100,2666,2018-01-23,294000,2000-10-02,601100,601100,,
30,10 MARKET ST,201/  23/  /  / ,201,23,,  3959/0892,484900,484900,1.38,1010,SINGLE FAM MDL01,LCD,1,2016,266700,218200,484900,278533,2013-03-04,,,435500,435500,,
32,8 MARKET ST,201/  25/  /  / ,201,25,,  3072/0304,277800,277800,0.37,1010,SINGLE FAM MDL01,LCD,1,2016,131000,146800,277800,248000,2004-10-29,7000,1957-07-05,273800,273800,,
33,6 MARKET ST,201/  26/  /  / ,201,26,,  4368/0297,328000,328000,0.29,1010,SINGLE FAM MDL01,LCD,1,2016,176400,151600,328000,0,2018-06-19,329067,2014-06-25,301900,301900,,
34,4 MARKET ST,201/  27/  /  / ,201,27,,  4368/0297,552900,552900,0.4,1010,SINGLE FAM MDL01,LCD,1,2016,395200,157700,552900,0,2018-06-19,135000,1988-02-01,557400,557400,,
35,1 ON THE COMMON (COMMON),201/  28/  /  / ,201,28,, ,29200,29200,1.4,9035,TOWN-PROP,LCD,1,2016,0,29200,29200,0,,,,24000,24000,,
36,18 ON THE COMMON,201/  29/  /  / ,201,29,,  4469/0248,719200,719200,2.2,3400,OFFICE BLD  MDL-94,LCD,1,2016,303000,416200,719200,775000,2019-09-30,950000,2007-05-01,723300,723300,,
37,16 ON THE COMMON,201/  30/  /  / ,201,30,,  4325/0395,650500,650500,0.78,920C,NON PROFIT  MDL-94,LCD,1,2016,297500,353000,650500,425000,2017-11-15,447000,2009-02-04,485900,485900,,
39,14 ON THE COMMON,201/  31/  1000/  / ,201,31,1000,  4554/ 777,576700,576700,3.08,1040,TWO FAMILY,LCD,1,2016,339700,237000,576700,640000,2020-09-15,440000,2005-05-20,630100,630100,,
40,18 MARKET ST (BIG ROCK),201/  31/  2000/  / ,201,31,2000,  2295/0028,43000,43000,9.99,9035,TOWN-PROP,,1,2016,0,43000,43000,0,1997-11-18,,,37300,37300,,
41,12 ON THE COMMON,201/  32/  /  / ,201,32,,  3087/0441,633000,633000,0.65,1010,SINGLE FAM MDL01,LCD,1,2016,447000,186000,633000,625000,2004-12-14,129000,1998-10-29,617400,617400,,
42,10 ON THE COMMON,201/  33/  /  / ,201,33,,  3371/0737,488500,488500,1.5,1010,SINGLE FAM MDL01,LCD,1,2016,269800,218700,488500,0,2006-12-07,,,439200,439200,,
43,8 ON THE COMMON,201/  34/  /  / ,201,34,,  4183/ 405,345600,345600,1.71,1010,SINGLE FAM MDL01,LCD,1,2016,137300,208300,345600,0,2016-01-13,195000,2004-07-07,319400,319400,,
50,6 ON THE COMMON UNIT #1,201/  35/  0010/  / ,201,35,10,  2364/0058,167300,167300,0,1021,CONDO NL  MDL-05,LCD,1,2016,167300,0,167300,102000,1998-12-21,100000,1994-11-10,150100,150100,,
51,6 ON THE COMMON UNIT #2,201/  35/  0020/  / ,201,35,20,  3856/0468,160700,160700,0,1021,CONDO NL  MDL-05,LCD,1,2016,160700,0,160700,107133,2012-02-07,4000,1999-06-28,144300,144300,,
52,6 ON THE COMMON UNIT #3,201/  35/  0030/  / ,201,35,30,  3943/0473,157100,157100,0,1021,CONDO NL  MDL-05,LCD,1,2016,157100,0,157100,150000,2012-12-27,132000,2005-02-14,141100,141100,,
53,6 ON THE COMMON UNIT #4,201/  35/  0040/  / ,201,35,40,  4220/0472,181500,181500,0,1021,CONDO NL  MDL-05,LCD,1,2016,181500,0,181500,176000,2016-07-14,140000,2013-07-30,162700,162700,,
54,6 ON THE COMMON UNIT #5,201/  35/  0050/  / ,201,35,50,  4125/0135,152900,152900,0,1021,CONDO NL  MDL-05,LCD,1,2016,152900,0,152900,142000,2015-05-04,149000,2002-12-27,137400,137400,,
55,6 ON THE COMMON UNIT #6,201/  35/  0060/  / ,201,35,60,  2558/0753,168600,168600,0,1021,CONDO NL  MDL-05,CD,1,2016,168600,0,168600,2666,2001-06-21,94500,2000-06-29,151200,151200,,
56,4 ON THE COMMON,201/  36/  /  / ,201,36,,  3516/0484,1160900,1160900,0.18,3160,COMM WHSE,LCD,1,2016,926400,234500,1160900,0,2008-04-22,7543800,2008-04-02,1095200,1095200,,
57,2 ON THE COMMON,201/  37/  /  / ,201,37,,  4472/0485,925900,925900,1.4,1010,SINGLE FAM MDL01,LCD,1,2016,695900,230000,925900,985000,2019-10-10,275000,2003-01-10,916600,916600,,
58,38 UNION ST (LIBRARY),201/  38/  /  / ,201,38,, ,915600,915600,0.44,903C,MUNICPAL  MDL-94,LCD,1,2016,653600,262000,915600,0,,,,859500,859500,,
59,36 UNION ST,201/  39/  /  / ,201,39,,002867/0533,511800,511800,0.39,1010,SINGLE FAM MDL01,LCD,1,2016,355300,156500,511800,210000,2003-08-04,169000,2001-11-09,496100,496100,,
60,32 UNION ST,201/  40/  /  / ,201,40,, ,704000,704000,1.55,1040,TWO FAMILY,LCD,1,2016,485100,218900,704000,0,,,,635400,635400,,
62,30 UNION ST,201/  42/  /  / ,201,42,,  2469/0823,649200,649200,0.46,1010,SINGLE FAM MDL01,LCD,2,2016,485300,163900,649200,174000,2000-06-23,,,576100,576100,,
63,28 UNION ST,201/  43/  /  / ,201,43,,  4023/0682,490500,490500,2.55,111C,APT 4-UNT  MDL-94,LCD,1,2016,258400,232100,490500,0,2013-11-06,160000,1989-02-27,386600,386600,,
64,26 UNION ST,201/  44/  /  / ,201,44,,  2161/0118,322100,322100,1.6,1010,SINGLE FAM MDL01,LCD,1,2016,103900,218200,322100,80000,1995-09-22,,,262500,262500,,
65,24 UNION ST,201/  45/  /  / ,201,45,,  4164/ 281,544900,544900,1.1,1010,SINGLE FAM MDL01,LCD,1,2016,316000,228900,544900,0,2015-10-01,460000,2013-04-26,489500,489500,,
66,22 UNION ST,201/  46/  /  / ,201,46,,  3368/0837,449700,449700,1.28,1040,TWO FAMILY,LCD,1,2016,218800,230900,449700,0,2007-01-12,,,408400,408400,,
67,20 UNION ST (BIG ROCK),201/  47/  /  / ,201,47,,  3059/0499,103200,103200,12.82,9200,NON PROFIT  MDL-00,LCD,1,2016,0,103200,103200,0,2004-09-29,475000,2001-05-29,87400,87400,,
68,5 BROOK LN,201/  48/  /  / ,201,48,,  3695/0434,284100,284100,2.3,1010,SINGLE FAM MDL01,RD,1,2016,127000,157100,284100,0,2010-04-21,,,256600,256600,,
69,4 BROOK LN,201/  49/  /  / ,201,49,, ,8600,8600,0.41,9010,STATE NH,RD,1,2016,0,8600,8600,0,,,,8400,8400,,
71,"Problem loading parcel PID 71, Map 201 Lot 50",,,,,,,,,,,,,,,,,,,,,,,,
76,11 UNION ST,201/  51/  1000/  / ,201,51,1000,  4086/0348,783100,783100,2,1010,SINGLE FAM MDL01,LCD,1,2016,548700,234400,783100,515000,2014-10-03,150000,1986-06-30,743900,743900,,
77,13 UNION ST,201/  51/  2000/  / ,201,51,2000,  3831/0623,578400,578400,2.07,1010,SINGLE FAM MDL01,LCD,1,2016,343500,234900,578400,501000,2011-11-01,308500,2002-01-12,544900,544900,,
78,15 UNION ST,201/  52/  /  / ,201,52,,  2809/0420,390300,390300,1,1010,SINGLE FAM MDL01,LCD,1,2016,173800,216500,390300,225000,2003-04-25,,,323000,323000,,
79,17 UNION ST,201/  53/  /  / ,201,53,,  0909/0569,333300,333300,0.99,1010,SINGLE FAM MDL01,LCD,1,2016,116800,216500,333300,0,,,,295600,295600,,
80,21 UNION ST,201/  54/  /  / ,201,54,, ,618800,618800,18,906R,CHURCH ETC  MDL-01,LCD,1,2016,301600,317200,618800,0,,,,491900,491900,,
81,25 UNION ST,201/  55/  /  / ,201,55,,  1659/0083,429800,429800,1.4,130,PRI RES,LCD,1,2016,139400,290400,429800,190000,1987-03-01,,,374600,374600,,
82,27 UNION ST,201/  56/  /  / ,201,56,,  3046/0166,417000,417000,0.67,1040,TWO FAMILY,LCD,1,2016,217700,199300,417000,210000,2004-08-12,133000,1986-06-03,344600,344600,,
83,29 UNION ST,201/  57/  /  / ,201,57,,  2338/0377,334800,334800,0.44,1010,SINGLE FAM MDL01,LCD,1,2016,173000,161800,334800,155000,1998-08-28,115000,1985-03-28,321500,321500,,
84,35 UNION ST (ELEM SCHOOL),201/  58/  /  / ,201,58,, ,5187300,5187300,6.8,903C,MUNICPAL  MDL-94,LCD,1,2016,3187200,2000100,5187300,0,,,,4187900,4187900,,
85,39 UNION ST (LITTLE COMMON),201/  59/  /  / ,201,59,, ,16900,16900,0.38,9035,TOWN-PROP,LCD,1,2016,0,16900,16900,0,,,,16400,16400,,
86,37 UNION ST,201/  60/  /  / ,201,60,,  3138/0802,700600,700600,1.1,1010,SINGLE FAM MDL01,LCD,1,2016,471700,228900,700600,513000,2005-05-11,,,623700,623700,,
87,19 EAST THETFORD RD,201/  61/  /  / ,201,61,,4083-0169,635700,635700,1.5,1010,SINGLE FAM MDL01,LCD,1,2016,379700,256000,635700,660000,2014-09-16,,,598800,598800,,
88,1 HAMILTON LN,201/  62/  /  / ,201,62,,  2467/0958,156600,156600,0.26,1010,SINGLE FAM MDL01,LCD,1,2016,43200,113400,156600,0,2000-06-15,55000,1994-04-12,112100,112100,,
89,7 HAMILTON LN,201/  63/  /  / ,201,63,,  1749/0748,478400,614500,57,1010,SINGLE FAM MDL01,LCD,1,2016,238900,375600,614500,142000,1988-06-27,117000,1986-12-15,484300,607300,,
91,2 HAMILTON LN,201/  65/  /  / ,201,65,,  2866/0001,803300,803300,0.81,1090,MULTI HSES,LCD,2,2016,526300,277000,803300,0,2012-03-06,135000,1988-06-08,740800,740800,,
92,8 EAST THETFORD RD,201/  66/  /  / ,201,66,,  3677/0115,257300,257300,0.67,1010,SINGLE FAM MDL01,LCD,1,2016,77800,179500,257300,0,2010-01-20,102000,1995-01-09,212500,212500,,
93,6 EAST THETFORD RD,201/  67/  /  / ,201,67,,  4321/0698,570100,570100,0.7,1010,SINGLE FAM MDL01,LCD,1,2016,365800,204300,570100,589000,2017-10-30,485000,2008-09-16,486900,486900,,
94,4 EAST THETFORD RD,201/  68/  /  / ,201,68,,  2263/0290,551900,551900,0.55,1010,SINGLE FAM MDL01,LCD,1,2016,372700,179200,551900,208000,1997-07-29,126600,1993-10-06,445300,445300,,
95,2 EAST THETFORD RD,201/  69/  /  / ,201,69,,  2501/0649,542700,542700,0.72,1040,TWO FAMILY,,1,2016,335100,207600,542700,280000,2000-11-21,140000,1993-02-03,476200,476200,,
99,1 MAIN          ST (33% INT),201/  70/  0010/  / ,201,70,10,  4023/0680,295700,295700,0,340C,OFF CONDO  MDL-94,LCD,1,2016,295700,0,295700,0,2013-11-06,123810,1993-07-21,308800,308800,,
101,1 MAIN          ST (67% INT),201/  70/  0020/  / ,201,70,20,  4023/0680,543900,543900,0,340C,OFF CONDO  MDL-94,LCD,2,2016,543900,0,543900,0,2013-11-06,215048,1992-12-31,543200,543200,,
102,3 MAIN ST,201/  71/  /  / ,201,71,, ,111500,111500,0.63,9010,STATE NH,LCD,1,2016,7500,104000,111500,0,,,,99400,99400,,
103,10 LATHAM LN,201/  72/  /  / ,201,72,,  3650/0629,289200,289200,1.4,1010,SINGLE FAM MDL01,LCD,1,2016,104100,185100,289200,274533,2009-10-02,3800,2008-03-25,278900,278900,,
104,5 MAIN ST,201/  73/  /  / ,201,73,,  3457/0514,1449300,1449300,0.96,3220,STORE/SHOP  MDL-94,LCD,1,2016,1055000,394300,1449300,500000,2007-10-12,400000,1987-01-02,1222500,1222500,,
105,7 MAIN ST,201/  74/  /  / ,201,74,,  3452/0881,510400,510400,0.4,3400,OFFICE BLD  MDL-94,LCD,1,2016,236100,274300,510400,0,2007-09-13,225000,1988-06-24,468200,468200,,
106,9 MAIN ST,201/  75/  /  / ,201,75,,  2305/0161,1909300,1909300,5.4,3020,INNS,LCD,3,2016,1421000,488300,1909300,0,1998-03-06,400000,1989-05-15,1552700,1552700,,
107,13 MAIN ST,201/  76/  /  / ,201,76,,  3045/0960,623200,623200,0.31,3220,STORE/SHOP  MDL-94,LCD,2,2016,359500,263700,623200,0,2004-08-30,450000,1988-01-18,574400,574400,,
111,1 PLEASANT ST (OLD CEMETERY,201/  78/  /  / ,201,78,, ,429100,429100,3.7,9035,TOWN-PROP,,1,2016,4400,424700,429100,0,,,,341700,341700,,
115,21 PLEASANT ST,201/  79/  1000/  / ,201,79,1000,  4440/ 498,358900,479700,22,1010,SINGLE FAM MDL01,LCD,1,2016,221200,258500,479700,0,2019-06-06,,,273900,383400,,
116,23 PLEASANT ST,201/  79/  2000/  / ,201,79,2000,  2132/0258,397700,397700,2.08,1010,SINGLE FAM MDL01,LCD,1,2016,249500,148200,397700,0,1995-02-17,,,341700,341700,,
117,25 PLEASANT ST,201/  80/  0010/  / ,201,80,10,  3470/0508,406300,406300,0,102R,CONDO NL  MDL-01,LCD,2,2016,406300,0,406300,390000,2007-11-27,295000,2003-09-03,388500,388500,,
118,7 BRITTON LN,201/  81/  /  / ,201,81,,  3450/0372,683500,683500,5.3,3130,LUMBER YRD,RD,1,2016,155800,527700,683500,650000,2007-09-18,62500,1995-03-31,431000,431000,,
120,4 BRITTON LN,201/  83/  /  / ,201,83,,  4421/0347,822900,822900,4.2,3160,COMM WHSE,LCD,1,2016,462100,360800,822900,675000,2019-03-18,4000,1989-01-25,739200,739200,,
121,34 PLEASANT ST,201/  84/  /  / ,201,84,,  3729/0847,224200,224200,1.4,1010,SINGLE FAM MDL01,LCD,1,2016,73100,151100,224200,115000,2010-09-10,242533,2005-09-23,188800,188800,,
122,32 PLEASANT ST,201/  85/  /  / ,201,85,,  4599/ 918,406300,406300,0.7,1010,SINGLE FAM MDL01,LCD,1,2016,273000,133300,406300,0,2021-02-23,375000,2005-01-28,329500,329500,,
123,30 PLEASANT ST,201/  86/  /  / ,201,86,,  4371/0348,284100,284100,0.69,1010,SINGLE FAM MDL01,LCD,1,2016,151900,132200,284100,295000,2018-06-29,185000,2006-03-24,226100,226100,,
124,26+28 PLEASANT ST,201/  87/  /  / ,201,87,,  4171/ 903,577900,577900,1,1050,THREE FAM,LCD,2,2016,354900,223000,577900,455000,2015-11-17,,,466900,466900,,
125,24 PLEASANT ST,201/  88/  /  / ,201,88,,  4071/0118,427700,427700,2.3,1010,SINGLE FAM MDL01,LCD,1,2016,272000,155700,427700,365000,2014-07-21,,,346700,346700,,
127,16 PLEASANT ST,201/  90/  /  / ,201,90,,  4430/0014,393500,393500,0.9,1010,SINGLE FAM MDL01,LCD,1,2016,240200,153300,393500,405000,2019-05-01,365000,2006-07-11,377200,377200,,
128,12+14 PLEASANT ST,201/  91/  /  / ,201,91,,  3779/0878,583500,583500,0.8,1090,MULTI HSES,LCD,2,2016,395000,188500,583500,200000,2011-03-15,125000,1997-09-09,527600,527600,,
129,10 PLEASANT ST,201/  92/  /  / ,201,92,,  4152/0371,339800,339800,1.3,1010,SINGLE FAM MDL01,LCD,1,2016,182300,157500,339800,286000,2015-08-24,225000,2006-03-07,295300,295300,,
132,6 JOHN THOMSON WY (L/O),201/  93/  100/  / ,201,93,100, ,40300,40300,0.16,9030,MUNICPAL  MDL-00,LDC,1,2016,0,40300,40300,0,,,,33700,33700,,
133,6 JOHN THOMSON WY(HORSESHD),201/  93/  200/  / ,201,93,200,  1005/0574,42000,42000,0,9060,CHURCH ETC  MDL-00,,1,2016,42000,0,42000,0,,,,38500,38500,,
136,2 PLEASANT ST (JAILHOUSE),201/  94/  100/  / ,201,94,100, ,27400,27400,0.07,903I,MUNICPAL  MDL-96,LCD,1,2016,15200,12200,27400,0,,,,23100,23100,,
137,4 JOHN THOMSON WY,201/  94/  200/  / ,201,94,200, ,236300,236300,1.85,920C,NON PROFIT  MDL-94,LCD,1,2016,46900,189400,236300,0,,,,197000,197000,,
138,1 DORCHESTER RD,201/  95/  /  / ,201,95,,  1005/ 574,1440500,1440500,0.33,906I,CHURCH ETC  MDL-96,LCD,1,2016,1194500,246000,1440500,0,,,,1329600,1329600,,
139,5 DORCHESTER RD,201/  96/  /  / ,201,96,, ,247800,247800,0.09,906C,CHURCH ETC  MDL-94,LCD,1,2016,81400,166400,247800,0,,,,205800,205800,,
140,7 DORCHESTER RD,201/  97/  /  / ,201,97,,  3890/0633,677700,677700,0.31,1010,SINGLE FAM MDL01,LCD,1,2016,526200,151500,677700,733000,2012-06-13,257000,1996-09-19,687800,687800,,
142,11 DORCHESTER RD,201/  99/  /  / ,201,99,,  4466/0210,377200,377200,1.71,1010,SINGLE FAM MDL01,LCD,1,2016,167300,209900,377200,365000,2019-09-19,350000,2007-12-18,375100,375100,,
143,19 DORCHESTER RD,201/  100/  /  / ,201,100,,  4223/0595,494100,494100,1.5,1010,SINGLE FAM MDL01,LCD,1,2016,287200,206900,494100,465000,2016-07-29,222000,1993-09-02,471200,471200,,
144,21 DORCHESTER RD,201/  101/  /  / ,201,101,,  4154/0182,277800,277800,0.43,1010,SINGLE FAM MDL01,LCD,1,2016,144800,133000,277800,266700,2015-08-31,92571,1992-07-15,249800,249800,,
148,50 HIGH ST,201/  102/  1000/  / ,201,102,1000,  4403/0829,306500,306500,1.37,1010,SINGLE FAM MDL01,LCD,1,2016,163800,142700,306500,0,2018-11-29,122000,1994-08-24,246900,246900,,
149,48 HIGH ST,201/  102/  2000/  / ,201,102,2000,  4403/0829,556800,556800,1.51,3050,HOSP PVT,LCD,1,2016,385600,171200,556800,0,2018-11-29,20000,1995-08-01,420300,420300,,
150,44 HIGH ST (FIRE STATION),201/  103/  /  / ,201,103,, ,580900,580900,1.28,9032,FIRE,LCD,1,2016,410700,170200,580900,0,,,,253500,253500,,
151,40 HIGH ST,201/  104/  /  / ,201,104,,  4419/0497,218500,218500,10,3900,DEVEL LAND,LCD,1,2016,0,218500,218500,200000,2019-03-04,4286,1991-05-31,137300,137300,,
152,38 HIGH ST,201/  105/  /  / ,201,105,,  2446/0833,260000,260000,0.22,1010,SINGLE FAM MDL01,LCD,1,2016,175200,84800,260000,0,2000-02-15,4000,1960-08-08,201200,201200,,
153,36 HIGH ST,201/  106/  /  / ,201,106,,  1970/0315,260700,260700,0.66,1010,SINGLE FAM MDL01,LCD,1,2016,149400,111300,260700,115048,1992-06-01,,,228700,228700,,
154,32 HIGH ST,201/  107/  /  / ,201,107,,  3080/0109,164900,164900,0.52,1010,SINGLE FAM MDL01,LCD,1,2016,82500,82400,164900,0,2004-11-18,75000,1998-11-10,138800,138800,,
159,30 HIGH ST,201/  109/  1000/  / ,201,109,1000,  0841/0392,187300,187300,1.96,9010,STATE NH,LCD,1,2016,21200,166100,187300,0,1955-06-02,,,145100,145100,,
161,24 HIGH ST (HIGHWAY GARAGE),201/  110/  1000/  / ,201,110,1000,002888/0819,781700,781700,3.47,903I,MUNICPAL  MDL-96,LCD,1,2016,562100,219600,781700,0,2003-09-10,,,751200,751200,,
162,18 HIGH ST,201/  111/  /  / ,201,111,,  2264/0263,292200,292200,1.8,1010,SINGLE FAM MDL01,LCD,1,2016,165400,126800,292200,125000,1997-08-05,,,262500,262500,,
163,14 HIGH ST,201/  112/  /  / ,201,112,,  2258/0725,428500,428500,0.76,1090,MULTI HSES,LCD,2,2016,269600,158900,428500,111000,1997-06-27,4000,1988-01-22,396100,396100,,
164,8 HIGH ST,201/  113/  /  / ,201,113,,  3957/0001,144500,144500,0.58,1010,SINGLE FAM MDL01,LCD,1,2016,46200,98300,144500,0,2013-02-20,100000,2007-04-06,122000,122000,,
167,4 CREAMERY LN,201/  117/  /  / ,201,117,,  2249/0467,513300,513300,1.53,101,Single Fam,LCD,2,2016,289300,224000,513300,0,1996-12-02,138500,1995-09-22,390100,390100,,
168,13 CREAMERY LN,201/  118/  /  / ,201,118,,  4111/0827,304100,304100,1.5,1010,SINGLE FAM MDL01,LCD,1,2016,174500,129600,304100,0,2015-02-23,4000,1988-03-23,245500,245500,,
169,12 CREAMERY LN,201/  119/  /  / ,201,119,,  4210/0547,265300,265300,0.61,1010,SINGLE FAM MDL01,LCD,1,2016,154200,111100,265300,0,2016-06-03,90000,2013-12-10,223000,223000,,
170,1 HIGH ST,201/  120/  /  / ,201,120,,  3546/0936,1492300,1492300,3.11,903R,MUNICIPAL MDL-01,LCD,2,2016,1225500,266800,1492300,0,2008-09-02,,,1299500,1299500,,
171,18 SPRING HILL LN,201/  122/  /  / ,201,122,,  2253/ 229,200,144500,6.21,6335,OTUNR-5,LCD,1,2016,0,144500,144500,835000,1997-05-30,10000,1997-01-31,200,106000,,
172,10 SPRING HILL LN,201/  123/  /  / ,201,123,,  2253/ 229,300,161400,7.68,6335,OTUNR-5,LCD,1,2016,0,161400,161400,835000,1997-05-30,10000,1997-01-31,300,119400,,
173,6 SPRING HILL LN,201/  124/  /  / ,201,124,,  3408/0510,619200,619200,1.5,1010,SINGLE FAM MDL01,,1,2016,465200,154000,619200,500000,2007-05-18,390000,2003-07-31,479200,479200,,
174,13 HIGH ST,201/  125/  /  / ,201,125,,  3993/0932,284500,284500,1.56,1010,SINGLE FAM MDL01,LCD,1,2016,152300,132200,284500,255000,2013-07-09,,,237400,237400,,
176,15 HIGH ST,201/  126/  /  / ,201,126,,  1413/0147,294500,294500,1.66,1010,SINGLE FAM MDL01,LCD,1,2016,156600,137900,294500,4000,1980-12-23,,,221500,221500,,
177,19 HIGH ST,201/  127/  /  / ,201,127,,  4181/ 634,214900,214900,1.3,1010,SINGLE FAM MDL01,LCD,1,2016,85100,129800,214900,175000,2016-01-05,,,180600,180600,,
178,27 HIGH ST,201/  128/  1000/  / ,201,128,1000,  2197/0241,358400,358400,2.17,1010,SINGLE FAM MDL01,LCD,1,2016,231800,126600,358400,165000,1996-05-17,85000,1989-03-31,302300,302300,,
179,35 HIGH ST,201/  129/  /  / ,201,129,,4130-0104,287500,287500,1.7,1010,SINGLE FAM MDL01,LCD,1,2016,149400,138100,287500,249000,2015-05-26,240000,2004-11-22,245900,245900,,
180,19 ROCKY HILL LN,201/  130/  /  / ,201,130,,  3840/0869,812100,882500,18.7,1010,SINGLE FAM MDL01,,1,2016,597800,284700,882500,0,2011-12-06,653000,2011-07-19,783600,847600,,
181,31 ROCKY HILL LN,201/  131/  /  / ,201,131,,  2804/0476,2500,333600,20,1320,RES ACLNUD,LCD,1,2016,0,333600,333600,0,2003-04-16,66000,1987-12-14,2400,246600,,
182,12 ROCKY HILL LN,201/  132/  /  / ,201,132,,  1682/0690,686100,741100,12.8,1010,SINGLE FAM MDL01,LCD,1,2016,507900,233200,741100,30000,1987-07-17,,,748600,788200,,
183,49 HIGH ST,201/  133/  /  / ,201,133,,  4581/ 400,113900,113900,0.95,1060,AC LND IMP,LCD,1,2016,10900,103000,113900,100000,2020-12-03,25000,2015-11-23,79500,79500,,
