PID,Street Address,MBLU,Map,Lot,Unit,Book&Page,Assessment,Appraisal,Lot Size (acres),Land Use Code,Description,Zoning District,# Buildings,Appr. Year,Improvements,Land,Total,Recent Sale Price,Recent Sale Date,Prev Sale Price,Prev Sale Date,Prev. Assess.,Prev. Apprais,,
140,7 DORCHESTER RD,201/  97/  /  / ,201,97,  ,  3890/0633,726800,726800,0.31,1010,SINGLE FAM MDL01,LCD,1,2021,575300,151500,726800,733000,2012-06-13,257000,1996-09-19,726800,726800,14:26:30,11
143,19 DORCHESTER RD,201/  100/  /  / ,201,100,  ,  4223/0595,541000,541000,1.5,1010,SINGLE FAM MDL01,LCD,1,2021,334100,206900,541000,465000,2016-07-29,222000,1993-09-02,541000,541000,14:26:32,12
144,21 DORCHESTER RD,201/  101/  /  / ,201,101,  ,  4154/0182,277800,277800,0.43,1010,SINGLE FAM MDL01,LCD,1,2021,144800,133000,277800,266700,2015-08-31,92571,1992-07-15,277800,277800,14:26:35,13
148,50 HIGH ST,201/  102/  1000/  / ,201,102,1000,  4403/0829,306500,306500,1.37,1010,SINGLE FAM MDL01,LCD,1,2021,163800,142700,306500,0,2018-11-29,122000,1994-08-24,306500,306500,14:26:38,14
149,48 HIGH ST,201/  102/  2000/  / ,201,102,2000,  4403/0829,556800,556800,1.51,3050,HOSP PVT,LCD,1,2021,385600,171200,556800,0,2018-11-29,20000,1995-08-01,556800,556800,14:26:41,15
150,44 HIGH ST (FIRE STATION),201/  103/  /  / ,201,103,  , ,580900,580900,1.28,9032,FIRE,LCD,1,2021,410700,170200,580900,0,,,,580900,580900,14:26:45,16
151,40 HIGH ST,201/  104/  /  / ,201,104,  ,  4419/0497,218500,218500,10,3900,DEVEL LAND,LCD,1,2021,0,218500,218500,200000,2019-03-04,4286,1991-05-31,218500,218500,14:26:49,17
153,36 HIGH ST,201/  106/  /  / ,201,106,  ,  1970/0315,260700,260700,0.66,1010,SINGLE FAM MDL01,LCD,1,2021,149400,111300,260700,115048,1992-06-01,,,260700,260700,14:26:53,18
154,32 HIGH ST,201/  107/  /  / ,201,107,  ,  3080/0109,164900,164900,0.52,1010,SINGLE FAM MDL01,LCD,1,2021,82500,82400,164900,0,2004-11-18,75000,1998-11-10,164900,164900,14:26:55,19
159,30 HIGH ST,201/  109/  1000/  / ,201,109,1000,  0841/0392,187300,187300,1.96,9010,STATE NH,LCD,1,2021,21200,166100,187300,0,1955-06-02,,,187300,187300,14:26:58,20
161,24 HIGH ST (HIGHWAY GARAGE),201/  110/  1000/  / ,201,110,1000,002888/0819,781700,781700,3.47,903I,MUNICPAL  MDL-96,LCD,1,2021,562100,219600,781700,0,2003-09-10,,,781700,781700,14:27:01,21
162,18 HIGH ST,201/  111/  /  / ,201,111,  ,  2264/0263,292200,292200,1.8,1010,SINGLE FAM MDL01,LCD,1,2021,165400,126800,292200,125000,1997-08-05,,,292200,292200,14:27:05,22
163,14 HIGH ST,201/  112/  /  / ,201,112,  ,  2258/0725,428500,428500,0.76,1090,MULTI HSES,LCD,2,2021,269600,158900,428500,111000,1997-06-27,4000,1988-01-22,428500,428500,14:27:09,23
164,8 HIGH ST,201/  113/  /  / ,201,113,  ,  3957/0001,144500,144500,0.58,1010,SINGLE FAM MDL01,LCD,1,2021,46200,98300,144500,0,2013-02-20,100000,2007-04-06,144500,144500,14:27:12,24
167,4 CREAMERY LN,201/  117/  /  / ,201,117,  ,  2249/0467,513300,513300,1.53,101,Single Fam,LCD,2,2021,289300,224000,513300,0,1996-12-02,138500,1995-09-22,513300,513300,14:27:15,25
168,13 CREAMERY LN,201/  118/  /  / ,201,118,  ,  4111/0827,304100,304100,1.5,1010,SINGLE FAM MDL01,LCD,1,2021,174500,129600,304100,0,2015-02-23,4000,1988-03-23,304100,304100,14:27:18,26
170,1 HIGH ST,201/  120/  /  / ,201,120,  ,  3546/0936,1492300,1492300,3.11,903R,MUNICIPAL MDL-01,LCD,2,2021,1225500,266800,1492300,0,2008-09-02,,,1492300,1492300,14:27:22,27
172,10 SPRING HILL LN,201/  123/  /  / ,201,123,  ,  2253/ 229,300,161400,7.68,6335,OTUNR-5,LCD,1,2021,0,161400,161400,835000,1997-05-30,10000,1997-01-31,300,161400,14:27:26,28
173,6 SPRING HILL LN,201/  124/  /  / ,201,124,  ,  3408/0510,619200,619200,1.5,1010,SINGLE FAM MDL01,,1,2021,465200,154000,619200,500000,2007-05-18,390000,2003-07-31,619200,619200,14:27:28,29
174,13 HIGH ST,201/  125/  /  / ,201,125,  ,  3993/0932,284500,284500,1.56,1010,SINGLE FAM MDL01,LCD,1,2021,152300,132200,284500,255000,2013-07-09,,,284500,284500,14:27:31,30
176,15 HIGH ST,201/  126/  /  / ,201,126,  ,  1413/0147,294500,294500,1.66,1010,SINGLE FAM MDL01,LCD,1,2021,156600,137900,294500,4000,1980-12-23,,,294500,294500,14:27:33,31
100021,288 ORFORD RD,406/  22/  2000/  / ,406,22,2000,  4349/0226,1359700,1649100,158.82,1010,SINGLE FAM MDL01,RD,1,2021,1128800,520300,1649100,0,2018-03-21,1200000,2016-11-01,1359700,1649100,14:27:34,32
177,19 HIGH ST,201/  127/  /  / ,201,127,  ,  4181/ 634,214900,214900,1.3,1010,SINGLE FAM MDL01,LCD,1,2021,85100,129800,214900,175000,2016-01-05,,,214900,214900,14:27:37,33
178,27 HIGH ST,201/  128/  1000/  / ,201,128,1000,  2197/0241,358400,358400,2.17,1010,SINGLE FAM MDL01,LCD,1,2021,231800,126600,358400,165000,1996-05-17,85000,1989-03-31,358400,358400,14:27:39,34
179,35 HIGH ST,201/  129/  /  / ,201,129,  ,4130-0104,287500,287500,1.7,1010,SINGLE FAM MDL01,LCD,1,2021,149400,138100,287500,249000,2015-05-26,240000,2004-11-22,287500,287500,14:27:42,35
181,31 ROCKY HILL LN,201/  131/  /  / ,201,131,  ,  2804/0476,2500,333600,20,1320,RES ACLNUD,LCD,1,2021,0,333600,333600,0,2003-04-16,66000,1987-12-14,2500,333600,14:27:45,36
182,12 ROCKY HILL LN,201/  132/  /  / ,201,132,  ,  1682/0690,686100,741100,12.8,1010,SINGLE FAM MDL01,LCD,1,2021,507900,233200,741100,30000,1987-07-17,,,686100,741100,14:27:49,37
183,49 HIGH ST,201/  133/  /  / ,201,133,  ,  4581/ 400,113900,113900,0.95,1060,AC LND IMP,LCD,1,2021,10900,103000,113900,100000,2020-12-03,25000,2015-11-23,113900,113900,14:27:51,38
249,13 HEWS LN,401/  46/  /  / ,401,46,  ,  1988/0756,300200,300200,2.8,1010,SINGLE FAM MDL01,RD,1,2021,155900,144300,300200,0,1992-09-15,15000,1988-09-22,300200,300200,14:27:54,39
189,76 GOODELL LN,401/  4/  /  / ,401,4,  ,  3136/0533,53300,138100,37,1060,AC LND IMP,RD,1,2021,8500,129600,138100,0,2005-05-05,,,53300,138100,14:27:57,40
190,54 GOODELL LN,401/  5/  /  / ,401,5,  ,  1783/0218,1000,59200,23.11,6215,HWMR-5,RD,1,2021,0,59200,59200,4000,1988-12-27,,,1000,59200,14:27:59,41
191,42 GOODELL LN,401/  6/  /  / ,401,6,  ,002771/0009,6000,204100,104.74,6514,FARMR-4,RD,1,2021,0,204100,204100,0,2002-11-05,,,6000,204100,14:28:03,42
192,68 PRESTON RD,401/  7/  /  / ,401,7,  ,  1097/0311,25500,689600,191.4,6125,WPUN-5,RD,1,2021,0,689600,689600,0,1990-05-01,,,25500,689600,14:28:06,43
195,298 BAKER HILL RD,401/  10/  /  / ,401,10,  ,  3547/0074,519700,519700,5.2,1010,SINGLE FAM MDL01,RD,1,2021,343500,176200,519700,475000,2008-09-03,320000,2006-09-18,519700,519700,14:28:09,44
197,65 GOODELL LN,401/  12/  /  / ,401,12,  ,  1783/0218,2500,166600,81.63,6213,HWMR-3,RD,1,2021,0,166600,166600,0,,,,2500,166600,14:28:12,45
203,102 DARTMOUTH COLLEGE HY,401/  14/  /  / ,401,14,  ,  4551/ 229,357500,357500,0.83,1010,SINGLE FAM MDL01,RD,1,2021,232400,125100,357500,303000,2020-08-31,314000,2019-12-16,357500,357500,14:28:16,46
204,84 DARTMOUTH COLLEGE HY,401/  15/  /  / ,401,15,  ,  3128/0001,720800,880700,52,1120,APT OVER 8,BD,1,2021,396000,484700,880700,0,2005-04-14,110700,1977-08-30,720800,880700,14:28:18,47
206,60 DARTMOUTH COLLEGE HY,401/  17/  /  / ,401,17,  ,  4221/0423,742600,834600,15.8,1010,SINGLE FAM MDL01,RD,1,2021,606800,227800,834600,185000,2016-07-19,19500,2011-08-17,742600,834600,14:28:23,48
207,19 GOOSE POND RD,401/  18/  /  / ,401,18,  ,  4011/0594,54400,649200,125.6,1060,AC LND IMP,RD,1,2021,1700,647500,649200,0,2013-09-16,,,54400,649200,14:28:25,49
209,51 GOOSE POND RD,401/  20/  /  / ,401,20,  ,  3856/0585,262300,262300,1.5,1010,SINGLE FAM MDL01,RD,1,2021,119000,143300,262300,0,2012-02-07,210000,2007-03-06,262300,262300,14:28:28,50
210,57 GOOSE POND RD,401/  21/  /  / ,401,21,  ,  4254/0892,337100,337100,1.5,1010,SINGLE FAM MDL01,RD,1,2021,193800,143300,337100,0,2016-12-14,,,337100,337100,14:28:31,51
100361,137 MUD TURTLE POND RD,406/  26/  /  / ,406,26,  ,  3107/0182,4200,83150,95,6204,HWM-4,RD,1,2021,0,83150,83150,0,2005-02-11,,,4200,83150,14:28:34,52
217,127 GOOSE POND RD,401/  23/  1100/  / ,401,23,1100,  4519/ 345,2600,476800,56.37,6234,HWUNR-4,RD,1,2021,0,476800,476800,496533,2020-05-14,310000,1989-08-13,2600,476800,14:28:37,53
219,149 GOOSE POND RD,401/  23/  3000/  / ,401,23,3000,  4049/0602,340600,340600,2.82,1010,SINGLE FAM MDL01,RD,1,2021,176100,164500,340600,290000,2014-04-11,320533,2005-08-31,340600,340600,14:28:38,54
220,153 GOOSE POND RD,401/  24/  /  / ,401,24,  ,  4144/0841,288500,288500,2,1010,SINGLE FAM MDL01,RD,1,2021,180400,108100,288500,0,2015-07-08,,,288500,288500,14:28:43,55
221,157 GOOSE POND RD,401/  25/  /  / ,401,25,  ,  3216/0807,317500,317500,1.7,1010,SINGLE FAM MDL01,RD,1,2021,221900,95600,317500,267000,2005-11-07,65500,1995-06-05,317500,317500,14:28:47,56
223,32 PELTON LN,401/  27/  /  / ,401,27,  ,  3398/0435,448800,498200,11.67,1040,TWO FAMILY,RD,1,2021,322900,175300,498200,175000,2007-04-20,4000,1998-06-09,448800,498200,14:28:51,57
225,342 BAKER HILL RD,401/  29/  /  / ,401,29,  ,  4642/ 600,262700,262700,6.1,1030,MOBILE HOM  MDL-02,RD,2,2021,86100,176600,262700,0,2021-06-22,,,262700,262700,14:28:53,58
229,320 BAKER HILL RD,401/  30/  1000/  / ,401,30,1000,  4086/ 693,492300,492300,2.6,1010,SINGLE FAM MDL01,RD,1,2021,312700,179600,492300,400000,2014-10-03,376000,2011-07-08,492300,492300,14:28:56,59
230,330 BAKER HILL RD,401/  30/  2000/  / ,401,30,2000,  3943/0927,2800,218200,29.4,6335,OTUNR-5,RD,1,2021,0,218200,218200,0,2012-12-28,,,2800,218200,14:28:59,60
232,156 GOOSE POND RD,401/  32/  /  / ,401,32,  ,  4153/0352,130000,130000,0.45,1010,SINGLE FAM MDL01,RD,1,2021,72200,57800,130000,146000,2015-08-26,45000,2010-07-01,130000,130000,14:29:01,61
233,154 GOOSE POND RD,401/  33/  /  / ,401,33,  ,  1254/0406,146600,146600,0.45,1010,SINGLE FAM MDL01,RD,1,2021,81500,65100,146600,0,,,,146600,146600,14:29:03,62
235,144 GOOSE POND RD,401/  35/  /  / ,401,35,  ,  4200/0326,625200,625200,6.2,1010,SINGLE FAM MDL01,,2,2021,455900,169300,625200,535000,2016-04-20,163048,1990-08-10,625200,625200,14:29:05,63
236,142 GOOSE POND RD,401/  36/  /  / ,401,36,  ,  3084/0708,304100,304100,0.91,1010,SINGLE FAM MDL01,RD,1,2021,184400,119700,304100,0,2004-12-01,96000,1990-12-24,304100,304100,14:29:09,64
100041,198 BAKER HILL RD,410/  9/  2000/  / ,410,9,2000,  4040/ 020,8800,338400,37.35,6506,FARM-6,RD,1,2021,0,338400,338400,0,2014-02-10,112942,1989-11-03,8800,338400,14:29:11,65
237,138 GOOSE POND RD,401/  37/  /  / ,401,37,  ,002864/0255,133300,133300,0.47,1030,MOBILE HOM  MDL-02,RD,1,2021,45100,88200,133300,74933,2003-08-01,17000,1979-05-25,133300,133300,14:29:15,66
241,72 GOOSE POND RD,401/  39/  /  / ,401,39,  ,  4013/0532,307200,863300,174,1010,SINGLE FAM MDL01,RD,1,2021,143900,719400,863300,750000,2013-09-24,,,307200,863300,14:29:17,67
244,40 GOOSE POND RD,401/  41/  /  / ,401,41,  ,   334/0303,800,800,0.07,1320,RES ACLNUD,,1,2021,0,800,800,0,2006-10-08,,,800,800,14:29:21,68
245,36 GOOSE POND RD,401/  42/  /  / ,401,42,  ,  4468/0924,308900,308900,0.54,1010,SINGLE FAM MDL01,RD,1,2021,193200,115700,308900,355000,2019-09-27,179000,2017-05-15,308900,308900,14:29:23,69
246,20 DARTMOUTH COLLEGE HY,401/  43/  /  / ,401,43,  , ,6200,300300,32.8,6515,FARMR-5,RD,1,2021,0,300300,300300,0,2002-02-18,2666,2001-04-27,6200,300300,14:29:25,70
247,1 DARTMOUTH COLLEGE HY,401/  44/  /  / ,401,44,  ,  1480/0578,162600,162600,1.1,1090,MULTI HSES,RD,2,2021,13400,149200,162600,0,,,,162600,162600,14:29:26,71
248,7 HEWS LN,401/  45/  /  / ,401,45,  ,  0971/0381,264000,264000,2.4,1010,SINGLE FAM MDL01,RD,1,2021,126300,137700,264000,0,,,,264000,264000,14:29:29,72
1,FLOWAGE RIGHTS,100/  1/  /  / ,100,1,  ,   001/ 001,1254000,1254000,0,422,ELEC PLANT,,1,2021,1254000,0,1254000,0,2017-04-20,26278600,2005-03-31,1254000,1254000,14:29:32,73
2,POWER LINES/L-37.62 MI,100/  2/  /  / ,100,2,  , ,2861300,2861300,0,422,ELEC PLANT,,1,2021,2861300,0,2861300,0,,,,2861300,2861300,14:29:34,74
3,POWER LINES,100/  3/  /  / ,100,3,  ,002944/0182,2527700,2527700,0,422,ELEC PLANT,,1,2021,2527700,0,2527700,1019533,2004-01-01,,,2527700,2527700,14:29:37,75
4,POWER LINES,100/  4/  /  / ,100,4,  , ,500,500,0,422,ELEC PLANT,,1,2021,500,0,500,0,,,,500,500,14:29:41,76
5,58 DORCHESTER RD,201/  1/  /  / ,201,1,  ,  4243/0312,261300,261300,3.9,1010,SINGLE FAM MDL01,LCD,1,2021,93700,167600,261300,0,2016-10-25,150000,2012-01-03,261300,261300,14:29:43,77
7,42 DORCHESTER RD,201/  4/  /  / ,201,4,  ,002833/0693,181800,181800,0.49,1010,SINGLE FAM MDL01,LCD,1,2021,77200,104600,181800,0,2002-12-16,,,181800,181800,14:29:45,78
8,40 DORCHESTER RD,201/  5/  /  / ,201,5,  ,002833/0693,254400,254400,0.98,1010,SINGLE FAM MDL01,LCD,1,2021,114000,140400,254400,0,2002-12-16,,,254400,254400,14:29:48,79
9,36 DORCHESTER RD,201/  6/  /  / ,201,6,  ,  3303/0204,266800,266800,1.85,1010,SINGLE FAM MDL01,LCD,1,2021,108900,157900,266800,5000,2006-07-12,,,266800,266800,14:29:49,80
10,32 DORCHESTER RD,201/  7/  /  / ,201,7,  ,  3307/0544,417100,417100,2.46,1010,SINGLE FAM MDL01,LCD,1,2021,254100,163000,417100,240000,2006-05-31,5000,1953-08-07,417100,417100,14:29:52,81
12,22 DORCHESTER RD,201/  9/  /  / ,201,9,  ,  4243/0537,487000,487000,3.11,1010,SINGLE FAM MDL01,LCD,1,2021,261800,225200,487000,500000,2016-10-24,14000,2008-07-28,487000,487000,14:29:54,82
13,18 DORCHESTER RD,201/  10/  /  / ,201,10,  ,  1812/0014,556400,556400,1.6,1010,SINGLE FAM MDL01,LCD,2,2021,275700,280700,556400,121000,1989-07-06,,,556400,556400,14:29:58,83
16,1 MARKET ST,201/  11/  /  / ,201,11,  ,  4094/0467,1401800,1401800,1.4,3020,INNS,LCD,1,2021,1016100,385700,1401800,950000,2014-11-12,500000,2008-09-02,1401800,1401800,14:30:01,84
18,7 MARKET ST,201/  12/  1000/  / ,201,12,1000,  4538/ 917,301600,301600,0.37,1010,SINGLE FAM MDL01,LCD,1,2021,162500,139100,301600,435000,2020-07-23,97000,1988-10-07,301600,301600,14:30:04,85
19,5 MARKET ST,201/  12/  2000/  / ,201,12,2000,  4538/ 917,154000,154000,0.05,1010,SINGLE FAM MDL01,LCD,1,2021,91700,62300,154000,435000,2020-07-23,97000,1988-10-07,154000,154000,14:30:06,86
20,11 MARKET ST,201/  13/  /  / ,201,13,  ,  3651/0625,615800,615800,1.6,1010,SINGLE FAM MDL01,LCD,1,2021,381400,234400,615800,0,2009-09-30,92000,1986-06-12,615800,615800,14:30:10,87
21,15 MARKET ST,201/  14/  /  / ,201,14,  ,  4414/0628,686500,686500,1.8,1090,MULTI HSES,LCD,2,2021,398100,288400,686500,0,2019-02-01,550000,2018-07-09,686500,686500,14:30:14,88
22,19 MARKET ST,201/  15/  /  / ,201,15,  ,  3902/0145,449000,449000,0.55,1010,SINGLE FAM MDL01,LCD,1,2021,269300,179700,449000,0,2012-07-25,362000,2012-07-03,449000,449000,14:30:16,89
23,25 MARKET ST,201/  16/  /  / ,201,16,  ,  1217/0589,478700,478700,4.31,101,Single Fam,LCD,1,2021,233100,245600,478700,42400,1974-04-11,,,478700,478700,14:30:18,90
26,26 MARKET ST,201/  19/  /  / ,201,19,  ,  4136/0106,356400,356400,1.1,1010,SINGLE FAM MDL01,LCD,1,2021,151100,205300,356400,195000,2015-06-17,98000,1990-06-22,356400,356400,14:30:22,91
25,30 MARKET ST,201/  18/  /  / ,201,18,  ,  2510/0517,581100,581100,0.5,1010,SINGLE FAM MDL01,RD,1,2021,410600,170500,581100,290000,2000-12-14,30000,1983-05-17,581100,581100,14:30:26,92
28,20 MARKET ST,201/  21/  /  / ,201,21,  ,  3967/ 527,536900,536900,3.5,1010,SINGLE FAM MDL01,LCD,1,2021,292900,244000,536900,0,2013-04-02,4000,1998-04-10,536900,536900,14:30:28,93
101602,27 PLEASANT ST,201/  80/  0020/  / ,201,80,20,  3664/0671,243200,243200,0,1020,CONDO,LCD,1,2021,243200,0,243200,140000,2009-11-19,65000,1999-08-04,243200,243200,14:30:30,94
101622,3 PRESTON RD,402/  37/  0100/  / ,402,37,100,  4306/0960,448700,508900,12.52,1010,SINGLE FAM MDL01,RD,1,2021,334300,174600,508900,110000,2017-08-25,125000,2006-03-13,448700,508900,14:30:34,95
101642,11  PRESTON RD,401/  1/  1000/  / ,401,1,1000,  2923/0335,426700,426700,3.01,1010,SINGLE FAM MDL01,RD,1,2021,281900,144800,426700,196000,2003-11-13,,,426700,426700,14:30:38,96
32,8 MARKET ST,201/  25/  /  / ,201,25,  ,  3072/0304,277800,277800,0.37,1010,SINGLE FAM MDL01,LCD,1,2021,131000,146800,277800,248000,2004-10-29,7000,1957-07-05,277800,277800,14:30:40,97
570,655 RIVER RD,405/  30/  2000/  / ,405,30,2000,  2142/0379,528000,762400,27.54,1013,SFR WATER  MDL-01,RD,3,2021,184400,578000,762400,175000,1995-05-19,220000,1994-07-20,528000,762400,14:30:42,98
571,667 RIVER RD,405/  31/  /  / ,405,31,  ,  4601/ 158,349100,349100,3,1010,SINGLE FAM MDL01,RD,1,2021,169100,180000,349100,260000,2021-02-08,,,349100,349100,14:30:45,99
572,669 RIVER RD,405/  32/  /  / ,405,32,  ,  4635/ 378,364900,364900,0.93,1010,SINGLE FAM MDL01,RD,1,2021,181000,183900,364900,288800,2021-05-28,48000,2020-03-18,364900,364900,14:30:48,100
883,108 HORTON LN,408/  45/  /  / ,408,45,  ,  1370/0997,73000,164900,50.1,1010,SINGLE FAM MDL01,RD,1,2021,21300,143600,164900,0,1979-07-20,,,73000,164900,14:30:51,101
884,44 HORTON LN,408/  46/  /  / ,408,46,  ,  1479/0812,352500,426500,20,1010,SINGLE FAM MDL01,RD,1,2021,191000,235500,426500,18000,1983-08-12,36000,1977-09-09,352500,426500,14:30:54,102
100401,65 WASHBURN HILL RD,402/  15/  2000/  / ,402,15,2000,  0000/0000,2500,315200,37.66,6114,WPMR-4,RD,1,2021,0,315200,315200,0,2005-05-20,,,2500,315200,14:30:55,103
887,36 HORTON LN,408/  47/  1000/  / ,408,47,1000,  4027/0777,1360300,1472800,30.1,1010,SINGLE FAM MDL01,RD,1,2021,998100,474700,1472800,1490000,2013-11-26,285000,1995-09-18,1360300,1472800,14:30:59,104
578,765 RIVER RD,405/  38/  1000/  / ,405,38,1000,  3816/0072,1768800,1917400,12.58,1013,SFR WATER  MDL-01,RD,1,2021,881300,1036100,1917400,0,2011-08-25,,,1768800,1917400,14:31:03,105
579,772 RIVER RD,405/  39/  /  / ,405,39,  ,  3480/0184,655300,710500,10,1010,SINGLE FAM MDL01,RD,1,2021,443300,267200,710500,0,2007-12-20,,,655300,710500,14:31:06,106
580,748 RIVER RD,405/  40/  /  / ,405,40,  ,  1792/0815,19300,19300,7,1300,RES ACLNDV,RD,1,2021,0,19300,19300,0,1989-02-15,,,19300,19300,14:31:09,107
581,736 RIVER RD,405/  42/  1000/  / ,405,42,1000,  4474/ 623,415500,737000,49.5,1060,AC LND IMP,RD,1,2021,169200,567800,737000,0,2019-10-17,525000,1998-03-17,415500,737000,14:31:10,108
582,738 RIVER RD,405/  42/  2000/  / ,405,42,2000,  4474/0623,1378800,1643300,65,1010,SINGLE FAM MDL01,RD,1,2021,971900,671400,1643300,1525000,2019-10-17,525000,1998-03-17,1378800,1643300,14:31:12,109
584,122 BRECK HILL RD,405/  44/  /  / ,405,44,  ,  4103/0394,789100,1093000,61.66,1010,SINGLE FAM MDL01,RD,1,2021,561900,531100,1093000,758000,2014-12-29,565000,1995-09-20,789100,1093000,14:31:16,110
591,100 BRECK HILL RD,405/  45/  1000/  / ,405,45,1000,  1994/0666,11200,346300,21.15,1300,RES ACLNDV,RD,1,2021,0,346300,346300,0,1994-12-19,,,11200,346300,14:31:17,111
592,92 BRECK HILL RD,405/  45/  2000/  / ,405,45,2000,  1994/0666,1000,190200,5.35,6126,WPUN-6,RD,1,2021,0,190200,190200,0,1994-12-19,,,1000,190200,14:31:21,112
593,80 BRECK HILL RD,405/  46/  /  / ,405,46,  ,  4366/0205,525600,606800,25,1010,SINGLE FAM MDL01,RD,1,2021,234800,372000,606800,250000,2016-06-08,2666,2002-07-12,525600,606800,14:31:25,113
34,4 MARKET ST,201/  27/  /  / ,201,27,  ,  4368/0297,552900,552900,0.4,1010,SINGLE FAM MDL01,LCD,1,2021,395200,157700,552900,0,2018-06-19,135000,1988-02-01,552900,552900,14:31:28,114
35,1 ON THE COMMON (COMMON),201/  28/  /  / ,201,28,  , ,29200,29200,1.4,9035,TOWN-PROP,LCD,1,2021,0,29200,29200,0,,,,29200,29200,14:31:30,115
37,16 ON THE COMMON,201/  30/  /  / ,201,30,  ,  4325/0395,650500,650500,0.78,920C,NON PROFIT  MDL-94,LCD,1,2021,297500,353000,650500,425000,2017-11-15,447000,2009-02-04,650500,650500,14:31:33,116
103137,16  ON THE COMMON,201/  30/  T/  / ,201,30,  T,  4325/0395,50000,50000,0,3900,DEVEL LAND,,1,2021,50000,0,50000,425000,2017-11-15,,,50000,50000,14:31:36,117
39,14 ON THE COMMON,201/  31/  1000/  / ,201,31,1000,  4554/ 777,576700,576700,3.08,1040,TWO FAMILY,LCD,1,2021,339700,237000,576700,640000,2020-09-15,440000,2005-05-20,576700,576700,14:31:39,118
40,18 MARKET ST (BIG ROCK),201/  31/  2000/  / ,201,31,2000,  2295/0028,43000,43000,9.99,9035,TOWN-PROP,,1,2021,0,43000,43000,0,1997-11-18,,,43000,43000,14:31:42,119
41,12 ON THE COMMON,201/  32/  /  / ,201,32,  ,  3087/0441,633000,633000,0.65,1010,SINGLE FAM MDL01,LCD,1,2021,447000,186000,633000,625000,2004-12-14,129000,1998-10-29,633000,633000,14:31:44,120
42,10 ON THE COMMON,201/  33/  /  / ,201,33,  ,  3371/0737,488500,488500,1.5,1010,SINGLE FAM MDL01,LCD,1,2021,269800,218700,488500,0,2006-12-07,,,488500,488500,14:31:47,121
43,8 ON THE COMMON,201/  34/  /  / ,201,34,  ,  4183/ 405,345600,345600,1.71,1010,SINGLE FAM MDL01,LCD,1,2021,137300,208300,345600,0,2016-01-13,195000,2004-07-07,345600,345600,14:31:50,122
50,6 ON THE COMMON UNIT #1,201/  35/  0010/  / ,201,35,10,  2364/0058,194300,194300,0,1021,CONDO NL  MDL-05,LCD,1,2021,194300,0,194300,102000,1998-12-21,100000,1994-11-10,194300,194300,14:31:54,123
54,6 ON THE COMMON UNIT #5,201/  35/  0050/  / ,201,35,50,  4125/0135,179900,179900,0,1021,CONDO NL  MDL-05,LCD,1,2021,179900,0,179900,142000,2015-05-04,149000,2002-12-27,179900,179900,14:31:57,124
1136,182 GOOSE POND RD,410/  73/  /  / ,410,73,  ,  3003/0844,175000,175000,1.2,1030,MOBILE HOM  MDL-02,RD,1,2021,82700,92300,175000,159000,2004-05-28,129000,2002-09-20,175000,175000,14:32:01,125
